Card                            Price StdDev Average  High    Low   Change Raw N
----                            ----- ------ ------- ------- ------ ------ -----
AErathi Berserker,               0.99,  0.00,   0.99,   0.99,   0.99,  0.00,   1
AEther Barrier,                  0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
AEther Burst,                    0.06,  0.00,   0.06,   0.06,   0.06,  0.00,   1
AEther Charge,                   0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
AEther Figment,                  0.27,  0.03,   0.27,   0.33,   0.25,  0.00,   4
AEther Flash (6th),              0.06,  0.00,   0.06,   0.06,   0.06,  0.00,   1
AEther Flash (7th),              0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   2
AEther Flash (WL),               0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   3
AEther Membrane,                 0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
AEther Mutation,                 0.12,  0.00,   0.12,   0.12,   0.12,  0.00,   2
AEther Rift,                     0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
AEther Shockwave,                0.01,  0.00,   0.01,   0.01,   0.01,  0.00,   1
AEther Snap,                     0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
AEther Spellbomb,                0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
AEther Sting,                    0.16,  0.00,   0.16,   0.16,   0.16,  0.00,   1
AEther Storm (5th),              0.01,  0.00,   0.01,   0.01,   0.01,  0.00,   1
AEther Storm (HL),               0.31,  0.00,   0.31,   0.31,   0.31,  0.00,   1
AEther Tide,                     0.26,  0.00,   0.26,   0.26,   0.26,  0.00,   1
AEther Vial,                     6.42,  1.49,   6.52,  11.00,   2.47,  0.10,  66
AEther Web,                      0.26,  0.00,   0.26,   0.26,   0.26,  0.00,   1
AEtherflame Wall,                0.17,  0.00,   0.17,   0.17,   0.17,  0.00,   1
AEthermage's Touch,              0.62,  0.37,   0.62,   0.99,   0.25,  0.00,   4
AEtherplasm,                     0.33,  0.00,   0.33,   0.33,   0.33,  0.00,   1
AEthersnipe,                     0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
AEthertow,                       0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Abandon Hope,                    0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Abandoned Outpost,               0.10,  0.00,   0.10,   0.10,   0.10,  0.00,   1
Abbey Gargoyles (5th),           1.00,  0.00,   1.00,   1.00,   1.00,  0.00,   1
Abbey Gargoyles (HL),            0.19,  0.06,   0.19,   0.25,   0.12, -0.00,   2
Abbey Matron,                    0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   2
Abduction (6th),                 0.16,  0.09,   0.16,   0.25,   0.08,  0.00,   2
Abduction (WL),                  0.08,  0.00,   0.08,   0.08,   0.08,  0.00,   1
Abeyance,                        3.08,  1.41,   3.34,   5.93,   0.99, -0.02,  14
Abjure,                          0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Abolish,                         0.19,  0.06,   0.19,   0.25,   0.14,  0.00,   2
Abomination,                     0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Abomination (LE),                1.07,  0.07,   1.07,   1.14,   0.99, -0.00,   2
Aboroth,                         0.13,  0.12,   0.13,   0.25,   0.01,  0.00,   2
Aboshan's Desire,                0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Aboshan, Cephalid Emperor,       0.41,  0.40,   0.41,   0.81,   0.01,  0.00,   2
About Face,                      0.26,  0.00,   0.26,   0.26,   0.26,  0.00,   1
Absolute Grace,                  0.19,  0.06,   0.19,   0.25,   0.14,  0.00,   2
Absolute Law,                    0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   2
Absolver Thrull,                 1.00,  0.00,   1.00,   1.00,   1.00,  0.00,   1
Absorb,                          2.03,  1.07,   2.33,   4.93,   0.99, -0.00,  19
Absorb Vis,                      0.38,  0.00,   0.38,   0.38,   0.38,  0.00,   1
Abu Ja'far (AN),                 0.99,  0.00,   0.99,   0.99,   0.99,  0.00,   2
Abu Ja'far (CH),                 1.15,  0.90,   1.58,   3.30,   0.99, -0.23,   5
Abuna's Chant,                   0.07,  0.01,   0.07,   0.08,   0.06,  0.00,   2
Abundance,                       0.51,  0.33,   0.51,   1.00,   0.25,  0.08,  12
Abundance (UZ),                  0.35,  0.09,   0.35,   0.44,   0.26,  0.00,   2
Abyssal Gatekeeper,              0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Abyssal Horror (7th),            0.01,  0.00,   0.01,   0.01,   0.01,  0.00,   1
Abyssal Horror (UZ),             0.62,  0.37,   0.62,   0.99,   0.25,  0.00,   2
Abyssal Hunter (6th),            0.50,  0.00,   0.50,   0.50,   0.50,  0.00,   1
Abyssal Hunter (MI),             0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Abyssal Nightstalker,            0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Abyssal Nocturnus,               0.56,  0.50,   0.56,   1.06,   0.06, -0.00,   2
Abyssal Specter (5th),           0.08,  0.00,   0.08,   0.08,   0.08,  0.00,   1
Abyssal Specter (6th),           0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Abyssal Specter (7th),           0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Abyssal Specter (8th),           0.43,  0.00,   0.43,   0.43,   0.43,  0.00,   1
Abyssal Specter (IA),            0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Academy Rector,                  3.77,  1.59,   3.93,   6.72,   0.25,  0.04,  15
Academy Researchers (10th),      0.38,  0.12,   0.38,   0.50,   0.25, -0.00,   2
Academy Researchers (UZ),        0.47,  0.00,   0.47,   0.47,   0.47,  0.00,   1
Academy Ruins,                   2.00,  1.27,   2.30,   4.93,   0.89,  0.05,  20
Accelerate,                      0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Accelerated Mutation,            0.26,  0.00,   0.26,   0.26,   0.26,  0.00,   1
Acceptable Losses,               0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Accumulated Knowledge (DCI),     0.28,  0.00,   0.28,   0.28,   0.28,  0.00,   1
Accumulated Knowledge (NE),      0.27,  0.35,   0.34,   1.88,   0.06,  0.00,  24
Accursed Centaur,                0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Acid Rain,                       8.38,  1.62,   8.59,  11.50,   6.50,  0.00,   6
Acidic Dagger,                   0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Acidic Slime,                    0.27,  0.04,   0.27,   0.36,   0.25, -0.00,   8
Acidic Sliver,                   0.78,  0.44,   0.78,   1.25,   0.25,  0.09,   5
Acidic Soil,                     0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Acolyte of Xathrid,              0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Acorn Harvest,                   0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Acquire,                         0.19,  0.06,   0.19,   0.25,   0.12, -0.00,   2
Acridian,                        0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   2
Act of Treason,                  0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   5
Active Volcano (CH),             0.01,  0.00,   0.01,   0.01,   0.01,  0.00,   1
Active Volcano (LE),             0.14,  0.00,   0.14,   0.14,   0.14,  0.00,   1
Ad Nauseam,                      0.55,  0.31,   0.55,   1.49,   0.25,  0.02,  31
Adamaro, First to Desire,        0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   2
Adarkar Sentinel,                0.01,  0.00,   0.01,   0.01,   0.01,  0.00,   1
Adarkar Unicorn,                 0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Adarkar Valkyrie,                2.76,  1.33,   2.98,   6.45,   0.99, -0.37,  17
Adarkar Wastes (10th),           2.03,  3.25,   2.75,  15.00,   0.56,  0.50,  18
Adarkar Wastes (5th),            0.63,  1.66,   1.58,   4.45,   0.34,  0.00,   8
Adarkar Wastes (6th),            4.93,  0.00,   4.93,   4.93,   4.92,  0.01,   2
Adarkar Wastes (7th),            4.93,  0.00,   4.93,   4.93,   4.92,  3.21,   2
Adarkar Wastes (9th),            2.43,  2.05,   2.43,   4.93,   0.34,  1.58,   5
Adarkar Wastes (IA),             1.42,  1.38,   1.86,   4.93,   0.40,  0.00,  16
